"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0006357","GO:0006357",1,"GO:0006357",1,1793,1793,"regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006366","GO:0006366",1,"GO:0006357",0.695,248,248,"transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006355","GO:0006355",1,"GO:0006357",0.939,584,584,"regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1903506","GO:1903506",1,"GO:0006357",0.806,2,2,"regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:2001141","GO:2001141",1,"GO:0006357",0.796,3,3,"regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006351","GO:0006351",1,"GO:0006357",0.694,79,79,"DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0097659","GO:0097659",1,"GO:0006357",0.596,0,0,"nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0032774","GO:0032774",1,"GO:0006357",0.62,0,0,"RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051252","GO:0051252",1,"GO:0006357",0.633,11,11,"regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0045944","GO:0045944",1,"GO:0006357",0.839,1507,1507,"positive regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010556","GO:0010556",1,"GO:0006357",0.49,0,0,"regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0034654","GO:0034654",1,"GO:0006357",0.564,0,0,"nucleobase-containing compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0019219","GO:0019219",1,"GO:0006357",0.568,0,0,"regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031326","GO:0031326",1,"GO:0006357",0.478,0,0,"regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0018130","GO:0018130",1,"GO:0006357",0.329,0,0,"heterocycle biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0019438","GO:0019438",1,"GO:0006357",0.329,1,1,"aromatic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009889","GO:0009889",1,"GO:0006357",0.321,0,0,"regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1901362","GO:1901362",1,"GO:0006357",0.303,0,0,"organic cyclic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0045893","GO:0045893",1,"GO:0006357",0.784,840,840,"positive regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1903508","GO:1903508",1,"GO:0006357",0.641,1,1,"positive regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1902680","GO:1902680",1,"GO:0006357",0.625,2,2,"positive regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009059","GO:0009059",1,"GO:0006357",0.32,0,0,"macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0044271","GO:0044271",1,"GO:0006357",0.352,0,0,"cellular nitrogen compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051254","GO:0051254",1,"GO:0006357",0.502,0,0,"positive regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010557","GO:0010557",1,"GO:0006357",0.39,1,1,"positive regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031328","GO:0031328",1,"GO:0006357",0.366,3,3,"positive regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0045935","GO:0045935",1,"GO:0006357",0.458,0,0,"positive regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010468","GO:0010468",1,"GO:0006357",0.422,242,242,"regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009891","GO:0009891",1,"GO:0006357",0.253,0,0,"positive regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031323","GO:0031323",1,"GO:0006357",0.383,0,0,"regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051171","GO:0051171",1,"GO:0006357",0.309,1,1,"regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0044249","GO:0044249",1,"GO:0006357",0.292,0,0,"cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0080090","GO:0080090",1,"GO:0006357",0.309,0,0,"regulation of primary metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1901576","GO:1901576",1,"GO:0006357",0.257,0,0,"organic substance biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009058","GO:0009058",4,"GO:0006915",0.147,15,15,"biosynthetic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0060255","GO:0060255",1,"GO:0006357",0.361,0,0,"regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0016070","GO:0016070",1,"GO:0006357",0.422,8,8,"RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
