"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_drugs","male_drugs"
"GO:0006357","GO:0006357",1,"GO:0006357",1,1793,1793,"regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006366","GO:0006366",1,"GO:0006357",0.695,248,248,"transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006355","GO:0006355",1,"GO:0006357",0.939,584,584,"regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1903506","GO:1903506",1,"GO:0006357",0.806,2,2,"regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:2001141","GO:2001141",1,"GO:0006357",0.796,3,3,"regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006351","GO:0006351",1,"GO:0006357",0.694,79,79,"DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0097659","GO:0097659",1,"GO:0006357",0.596,0,0,"nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0032774","GO:0032774",1,"GO:0006357",0.62,0,0,"RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051252","GO:0051252",1,"GO:0006357",0.633,11,11,"regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045944","GO:0045944",1,"GO:0006357",0.839,1507,1507,"positive regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010556","GO:0010556",1,"GO:0006357",0.49,0,0,"regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0034654","GO:0034654",1,"GO:0006357",0.564,0,0,"nucleobase-containing compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0019219","GO:0019219",1,"GO:0006357",0.568,0,0,"regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031326","GO:0031326",1,"GO:0006357",0.478,0,0,"regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0018130","GO:0018130",1,"GO:0006357",0.329,0,0,"heterocycle biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0019438","GO:0019438",1,"GO:0006357",0.329,1,1,"aromatic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
